"","Motif_ID","ORI_Random1","ORI_Random2","ORI_Random3","ORI_Random4","ORI_Random5","ORI_Random6","ORI_Random7","ORI_Random8","ORI_Random9","ORI_Random10","ORI_Random11","ORI_Random12","ORI_Random13","ORI_Random14","ORI_Random15","ORI_Random16","ORI_Random17","ORI_Random18","ORI_Random19","ORI_Random20","ORI_Random21","ORI_Random22","ORI_Random23","ORI_Random24","ORI_Random25","NumRefGene","PctRefGene","NumRandomGene","PctRandomGene","ORI_ave","ORI_SD","TF_Name","ENSEMBLE_ID","TF_ID","TF_Species","Family_Name","Family_ID","width","p_ttest","padj"
"M02678_2.00","M02678_2.00",1.11,1.15,1.13,1.12,1.1,1.11,1.1,1.09,1.09,1.13,1.08,1.17,1.13,1.09,1.13,1.08,1.11,1.08,1.1,1.16,1.12,1.13,1.13,1.12,1.1,133,100,132.08,99.3136,1.1144,0.0238461736972621,"SPIB","ENSG00000269404","T176138_2.00","Homo_sapiens","Ets","F180_2.00",7,0.999999999999998,1
"M02690_2.00","M02690_2.00",1.02,1.02,1.03,1.01,1.01,1.01,1.01,1.02,1.01,1.03,1,1.01,1,1.02,1.02,1.03,1.01,1.02,1.03,1.02,1.01,1.03,1.01,1,1.03,133,100,133,100,1.0164,0.00974884608556316,"Pax2","ENSMUSG00000004231","T237405_2.00","Mus_musculus","Homeodomain,Paired box","F230_2.00",8,1,1
"M02687_2.00","M02687_2.00",1.46,0.63,0.72,1.04,1.16,0.52,0.82,1.27,0.56,0.88,0.68,0.93,0.72,1.11,1.1,1.46,0.87,0.87,0.71,0.75,0.89,0.56,0.74,1.14,1.35,36,27.61,41.36,31.6116,0.9176,0.271533128733862,"Lhx3","ENSMUSG00000026934","T212446_2.00","Mus_musculus","Homeodomain","F223_2.00",13,0.999983661029129,1
"M02686_2.00","M02686_2.00",0.95,0.98,0.96,0.97,1.01,0.97,0.96,1.03,0.97,1.01,0.95,1,0.99,1.01,1.04,1.01,0.99,1.02,0.97,1.03,1.02,1,0.98,1.08,1.01,132,99.25,131.08,98.5668,0.9964,0.0307089563482708,"Nkx2-5","ENSMUSG00000015579","T212407_2.00","Mus_musculus","Homeodomain","F223_2.00",7,1,1
"M03335_2.00","M03335_2.00",49.04,22.89,8.16,12.45,51.87,50.99,12.81,22.63,50.72,10.01,206.23,195.12,50.37,22.68,12.79,22.27,22.67,22.74,22.58,7.91,5.6,7.88,8.04,21.51,22.64,13,10.45,2.24,2.4188,37.704,50.3192091352795,"IRF8","ENSG00000140968","T244082_2.00","Homo_sapiens","IRF","F243_2.00",14,0.000805913230659777,0.0177300910745151
"M03327_2.00","M03327_2.00",1.11,1.19,1.19,1.09,1.14,1.09,1.1,1.09,1.24,1.18,1.13,1.07,1.11,1.11,1.1,1.23,1.07,1.05,1.25,1.11,1.16,1.2,1.1,1.18,1.18,125,94.03,117.68,88.566,1.1388,0.0558082431187365,"HSFY2","ENSG00000169953","T240224_2.00","Homo_sapiens","HSF","F238_2.00",9,0.999991879686507,1
"M03326_2.00","M03326_2.00",1.17,1.15,0.96,1.08,1.25,1.09,1.1,0.98,0.92,1.26,0.95,1.17,1.38,1.24,1,1.35,0.95,1.13,1.1,0.92,1.27,1.17,1.14,1.26,1.11,94,70.9,90.32,68.15,1.124,0.130046145656071,"HSFY2","ENSG00000169953","T240224_2.00","Homo_sapiens","HSF","F238_2.00",15,0.995713649010671,1
"M02681_2.00","M02681_2.00",1.1,1.04,1.11,1.09,1.01,1.05,1.09,1.14,1.07,1.06,1.05,1.07,1.04,1.19,1.19,1.04,1.07,1.06,1.06,1,1.08,1.15,1.04,1.21,1.07,123,92.54,121.4,91.344,1.0832,0.0536447574325767,"FOXD1","ENSG00000251493","T185806_2.00","Homo_sapiens","Forkhead","F196_2.00",8,0.999999999931306,1
"M02705_2.00","M02705_2.00",1.01,1.12,0.77,0.93,0.77,0.8,0.77,0.82,0.82,0.86,0.91,0.93,1.08,0.82,0.9,0.91,0.78,1.02,0.77,0.76,1.01,0.98,0.8,0.89,0.75,98,73.88,101.08,76.1792,0.8792,0.106204331361767,"RORA","ENSG00000069667","T303208_2.00","Homo_sapiens","Nuclear receptor","F278_2.00",10,0.999999999999927,1
"M03339_2.00","M03339_2.00",3.74,3.92,3.88,3.79,3.95,3.88,3.9,0.97,3.86,3.81,3.93,3.72,3.84,3.89,3.9,3.82,3.89,3.9,3.87,3.77,3.84,3.75,3.83,3.69,3.88,1,1.49,0.04,0.7796,3.7288,0.567100132251792,"IRF9","ENSG00000213928","T244085_2.00","Homo_sapiens","IRF","F243_2.00",15,1.19748703434339e-17,2.63447147555546e-16
"M03338_2.00","M03338_2.00",0.93,0.55,1.4,0.53,3.95,0.43,0.72,2.18,0.62,0.7,0.98,2.09,0.7,0.71,3.9,0.34,2.19,0.72,2.18,8.48,2.16,2.11,0.7,0.92,2.18,5,4.48,4.72,4.2692,1.6948,1.70134328105765,"IRF7","ENSG00000185507","T244084_2.00","Homo_sapiens","IRF","F243_2.00",17,0.0835499808582647,1
"M03330_2.00","M03330_2.00",2.18,1.87,3.19,1.11,1.44,3.19,2.56,0.97,3.22,4.09,1.13,3.05,8.06,2.83,2.27,3.13,8.16,2.27,1.85,5.49,1.31,3.52,1.52,5.38,2.06,13,10.45,7.8,6.5676,3.034,1.89501451181779,"HSF1","ENSG00000185122","T240228_2.00","Homo_sapiens","HSF","F238_2.00",13,4.00896480209754e-05,0.000881972256461459
